date,observed_monthly_twsa,model_reconstructed_monthly_twsa,observed_ma12,model_reconstructed_ma12,residual_model_minus_observed,source_segment
2015-02-01,-180.2916471033152,-177.10613893847275,-113.1279694900589,-110.64014323567726,3.185508164842417,historical reconstruction/context
2015-03-01,-159.23439187983587,-153.23722666631727,-120.49952517127262,-117.6013952539139,5.997165213518599,historical reconstruction/context
2015-04-01,-165.4439021043468,-163.7240050240604,-127.55071931816396,-124.3723141147111,1.7198970802863869,historical reconstruction/context
2015-05-01,-57.251552734482615,-54.18175433900169,-122.64563555463154,-119.19342049651088,3.069798395480923,historical reconstruction/context
2015-06-01,-53.6726107747984,-47.860973498509125,-115.70407460421096,-112.22342341067676,5.811637276289275,historical reconstruction/context
2015-07-01,-206.7889692027998,-200.42313913932765,-129.32759841484582,-126.01158786539946,6.365830063472146,historical reconstruction/context
2015-08-01,-162.92438434431287,-157.6617863555377,-131.10070829996505,-127.9016329262689,5.262597988775156,historical reconstruction/context
2015-09-01,-152.2034313498621,-146.91910467723716,-134.10535394042577,-130.42141801777987,5.284326672624928,historical reconstruction/context
2015-10-01,-59.287398577336816,-55.06521196429692,-129.58156335718203,-125.36364167672072,4.222186613039895,historical reconstruction/context
2015-11-01,-52.06247912283104,-47.98193817986176,-122.4026044235531,-118.06039246542564,4.080540942969286,historical reconstruction/context
2015-12-01,-145.69357179711187,-146.35893236949806,-129.60769403774188,-125.69537800283749,-0.6653605723861915,historical reconstruction/context
2016-01-01,-183.8045825929892,-176.77703024888763,-131.55491013200188,-127.27477011675067,7.027552344101565,historical reconstruction/context
2016-02-01,-174.1333091423161,-174.449096818675,-131.04171530191863,-127.05334994010086,-0.3157876763588945,historical reconstruction/context
2016-03-01,-180.54254645070048,-180.9171857188528,-132.81739484949068,-129.3600131944788,-0.3746392681523218,historical reconstruction/context
2016-04-01,-41.7427895074614,-42.87463071898596,-122.50896879975022,-119.28923200238928,-1.1318412115245593,historical reconstruction/context
2016-05-01,-188.84774009668547,-187.70601535071984,-133.47531774660047,-130.4162537533658,1.1417247459656323,historical reconstruction/context
