date,scenario,climate_component_mm,component_lower_mm,component_upper_mm,risk_index,assumption,residual_assumption_mm,residual_p05_mm,residual_p25_mm,residual_p75_mm,residual_p95_mm,total_twsa_reconstruction_mm,p05,p25,p50,p75,p95,projection_type,total_twsa_ma12_mm
2079-02-01,ssp585,10.48346095320194,-2.356366379739777,19.478623455256614,12.268744061743702,B_trend_capped_persistence_residual,196.5097216984086,-136.51211800000002,-76.16655499999999,196.5097216984086,196.5097216984086,206.9931826516105,-138.86848437973978,-65.68309404679805,206.9931826516105,206.9931826516105,215.9883451536652,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,215.6133302393657
2079-03-01,ssp585,11.96114829826488,2.2234473261249845,19.820440352993543,12.409093076433493,B_trend_capped_persistence_residual,196.66304134248804,-136.51211800000002,-76.16655499999999,196.66304134248804,196.66304134248804,208.6241896407529,-134.28867067387503,-64.20540670173511,208.6241896407529,208.6241896407529,216.4834816954816,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,215.40087898581024
2079-04-01,ssp585,12.40543406092194,2.2234473261249845,19.820440352993543,12.548689515191978,B_trend_capped_persistence_residual,196.83278809129024,-136.51211800000002,-76.16655499999999,196.83278809129024,196.83278809129024,209.2382221522122,-134.28867067387503,-63.76112093907805,209.2382221522122,209.2382221522122,216.6532284442838,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,215.3875913467967
2079-05-01,ssp585,8.192120055736822,-6.079300389079464,17.335666267967962,12.68789123662691,B_trend_capped_persistence_residual,196.99705913851813,-136.51211800000002,-76.16655499999999,196.99705913851813,196.99705913851813,205.18917919425496,-142.59141838907948,-67.97443494426317,205.18917919425496,205.18917919425496,214.33272540648608,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,214.00669881899745
2079-06-01,ssp585,8.203914227383256,-6.079300389079464,17.292726903918457,12.823987914520588,B_trend_capped_persistence_residual,197.16680588732032,-136.51211800000002,-76.16655499999999,197.16680588732032,197.16680588732032,205.3707201147036,-142.59141838907948,-67.96264077261674,205.3707201147036,205.3707201147036,214.4595327912388,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,212.91661109493
2079-07-01,ssp585,8.086754182476227,-11.035997289966916,21.08079271424906,12.963351927686244,B_trend_capped_persistence_residual,197.33107693454824,-136.51211800000002,-76.16655499999999,197.33107693454824,197.33107693454824,205.4178311170245,-147.54811528996694,-68.07980081752376,205.4178311170245,205.4178311170245,218.4118696487973,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,211.6030368779012
2079-08-01,ssp585,21.0544632567186,-11.035997289966916,58.93592213713985,13.059964270842055,B_trend_capped_persistence_residual,197.5008236833505,-136.51211800000002,-76.16655499999999,197.5008236833505,197.5008236833505,218.55528694006907,-147.54811528996694,-55.11209174328139,218.55528694006907,218.55528694006907,256.4367458204904,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,210.53508080469055
2079-09-01,ssp585,1.8443542964377668,-13.039250839187314,8.26762027527447,13.176409449701405,B_trend_capped_persistence_residual,197.67057043215263,-136.51211800000002,-76.16655499999999,197.67057043215263,197.67057043215263,199.5149247285904,-149.55136883918732,-74.32220070356222,199.5149247285904,199.5149247285904,205.93819070742717,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,208.60707279593817
2079-10-01,ssp585,-2.7455327110574808,-20.267172332687352,17.178787938006145,13.281574769107864,B_trend_capped_persistence_residual,197.83484147938057,-136.51211800000002,-76.16655499999999,197.83484147938057,197.83484147938057,195.0893087683231,-156.77929033268737,-78.91208771105747,195.0893087683231,195.0893087683231,215.0136294173867,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,206.49055474104335
2079-11-01,ssp585,0.7517245054298696,-12.087976574874451,8.139368188012327,13.349095335116065,B_trend_capped_persistence_residual,198.00458822818277,-136.51211800000002,-76.16655499999999,198.00458822818277,198.00458822818277,198.75631273361265,-148.60009457487448,-75.41483049457013,198.75631273361265,198.75631273361265,206.14395641619507,assumption-explicit total TWSA scenario reconstruction; not deterministic forecast,205.81274547493865
